                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.9313,                 2.1244,                 1.1666,                 0.8329,                0.90767,                0.89026,                0.59756,                  1.146,                 27.745,                0.79362,               0.070019,              0.0033312,              0.0033312
                      2,                 1.4101,                0.93414,                 0.9712,                 0.8553,                0.94355,                0.86149,                0.51235,                 1.4396,                 42.293,                0.84407,               0.040018,              0.0066629,              0.0066629
                      3,                 1.3707,                0.84928,                0.95789,                0.86321,                 0.9528,                0.88532,                  0.597,                 1.2103,                  43.41,                0.81172,                0.01001,              0.0099881,              0.0099881
                      4,                 1.2867,                 0.7734,                 0.9385,                0.86483,                0.95696,                 0.8745,                 0.5275,                  1.463,                 38.949,                0.83802,               0.009978,               0.009978,               0.009978
                      5,                 1.2085,                0.69192,                 0.9209,                0.86957,                0.96298,                0.90929,                 0.6339,                 1.0924,                 40.195,                0.78119,               0.009978,               0.009978,               0.009978
                      6,                 1.1469,                0.64384,                0.91135,                0.87082,                0.96916,                0.92441,                0.67823,                0.98455,                 38.404,                 0.7622,               0.009961,               0.009961,               0.009961
                      7,                  1.111,                0.61574,                0.90317,                0.87164,                 0.9689,                0.90931,                0.64737,                 1.0459,                 46.751,                0.76846,              0.0099391,              0.0099391,              0.0099391
                      8,                  1.082,                0.59197,                0.89886,                0.87336,                0.96952,                0.93635,                0.63594,                 1.1779,                 45.108,                0.78424,              0.0099123,              0.0099123,              0.0099123
                      9,                 1.0614,                0.57957,                0.89344,                0.87437,                0.97136,                0.93412,                0.66879,                 1.1329,                 43.648,                0.78794,              0.0098808,              0.0098808,              0.0098808
                     10,                 1.0441,                0.56051,                0.88979,                0.87504,                0.97403,                0.94011,                0.71428,                0.90827,                 45.359,                0.74915,              0.0098445,              0.0098445,              0.0098445
                     11,                 1.0154,                0.54971,                0.88503,                0.87432,                0.97414,                0.91289,                0.66724,                 1.0211,                 57.252,                0.76223,              0.0098035,              0.0098035,              0.0098035
                     12,                0.99604,                0.54279,                0.88076,                0.87454,                0.97357,                 0.9361,                0.71403,                0.91081,                 52.184,                0.74981,              0.0097577,              0.0097577,              0.0097577
                     13,                 0.9767,                0.53409,                0.87658,                0.87468,                0.97513,                0.92068,                0.69177,                0.89393,                 48.718,                0.74549,              0.0097074,              0.0097074,              0.0097074
                     14,                0.96435,                0.52285,                0.87221,                0.87527,                0.97843,                0.93271,                0.69341,                0.90615,                  50.32,                0.74523,              0.0096524,              0.0096524,              0.0096524
                     15,                0.95771,                0.51898,                0.87086,                0.87446,                0.97836,                0.90438,                0.66424,                0.98606,                 56.823,                0.75519,              0.0095929,              0.0095929,              0.0095929
                     16,                0.94199,                0.51102,                0.86576,                0.87545,                 0.9762,                0.93995,                0.71529,                0.91005,                 56.877,                0.74649,              0.0095289,              0.0095289,              0.0095289
                     17,                0.93738,                0.50499,                0.86625,                0.87757,                0.97744,                0.94562,                0.71284,                0.92408,                 53.769,                0.75059,              0.0094605,              0.0094605,              0.0094605
                     18,                0.92068,                0.49888,                0.86352,                0.87708,                0.97764,                0.94824,                0.72611,                0.88477,                 55.808,                0.74308,              0.0093877,              0.0093877,              0.0093877
                     19,                0.91612,                0.49882,                0.86109,                0.87574,                0.97925,                0.91622,                0.69264,                0.91918,                 53.983,                0.74718,              0.0093107,              0.0093107,              0.0093107
                     20,                 0.9178,                 0.4959,                0.86187,                0.87702,                0.97937,                0.94535,                0.71943,                 0.8879,                 53.594,                0.74205,              0.0092294,              0.0092294,              0.0092294
                     21,                0.90414,                0.48827,                0.85952,                0.87883,                0.97899,                0.93501,                0.71531,                0.86343,                 55.783,                0.74079,               0.009144,               0.009144,               0.009144
                     22,                0.89844,                0.48761,                0.85721,                0.87544,                0.98134,                0.94366,                0.72319,                0.86855,                 55.467,                0.73962,              0.0090546,              0.0090546,              0.0090546
                     23,                0.89761,                0.48396,                0.85912,                0.87737,                0.97839,                0.94208,                0.73372,                0.81895,                 54.979,                 0.7351,              0.0089613,              0.0089613,              0.0089613
                     24,                 0.8934,                0.48133,                0.85683,                0.87695,                0.98178,                0.97153,                0.75706,                0.82715,                  55.59,                0.73545,               0.008864,               0.008864,               0.008864
                     25,                0.87895,                0.47247,                 0.8535,                0.87746,                0.98287,                0.97442,                0.76416,                0.82463,                 56.738,                0.73513,               0.008763,               0.008763,               0.008763
                     26,                0.88167,                0.47236,                0.85448,                0.87768,                0.98266,                0.93436,                0.72649,                0.86402,                 55.525,                0.74159,              0.0086584,              0.0086584,              0.0086584
                     27,                0.87404,                0.46956,                 0.8537,                0.87749,                0.98329,                0.92334,                0.72714,                 0.8075,                  57.38,                0.73333,              0.0085502,              0.0085502,              0.0085502
                     28,                 0.8728,                0.46878,                0.85375,                0.87756,                0.98234,                0.90997,                0.71027,                0.81305,                 55.804,                0.73349,              0.0084385,              0.0084385,              0.0084385
                     29,                0.86499,                0.46472,                0.85207,                0.87745,                0.98256,                0.91189,                0.71548,                0.80935,                 59.538,                0.73345,              0.0083235,              0.0083235,              0.0083235
                     30,                0.86318,                0.46019,                0.84953,                0.87872,                0.98257,                0.94106,                0.73454,                0.82252,                 56.747,                0.73438,              0.0082052,              0.0082052,              0.0082052
                     31,                0.86411,                0.45879,                0.85077,                 0.8789,                0.98417,                0.94293,                0.73894,                0.81127,                 57.617,                0.73335,              0.0080839,              0.0080839,              0.0080839
                     32,                0.85404,                 0.4562,                0.85032,                0.87952,                0.98368,                0.93953,                0.73685,                0.81598,                 56.657,                0.73471,              0.0079595,              0.0079595,              0.0079595
                     33,                0.85469,                0.45424,                0.84747,                0.87875,                0.98289,                0.93134,                0.72715,                0.82731,                 60.089,                0.73529,              0.0078323,              0.0078323,              0.0078323
                     34,                0.84981,                0.45109,                0.84926,                0.87823,                0.98429,                0.93832,                0.74101,                0.80264,                 57.958,                 0.7329,              0.0077023,              0.0077023,              0.0077023
                     35,                 0.8439,                0.44866,                0.84772,                0.87974,                0.98264,                0.93755,                0.73375,                0.81357,                 60.036,                0.73341,              0.0075698,              0.0075698,              0.0075698
                     36,                 0.8428,                0.44748,                 0.8478,                0.87813,                0.98441,                0.93017,                0.73482,                0.79065,                 58.495,                0.73126,              0.0074347,              0.0074347,              0.0074347
                     37,                0.84397,                0.44706,                0.84616,                0.87911,                0.98455,                0.91357,                0.72054,                0.80854,                  58.97,                0.73188,              0.0072973,              0.0072973,              0.0072973
