                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     37,                0.61934,                0.32323,                0.80625,                0.88074,                0.98767,                0.94449,                0.75956,                 0.7506,                 64.663,                0.72508,              0.0072973,              0.0072973,              0.0072973
                     38,                0.61516,                0.32029,                0.80608,                0.88173,                0.98747,                0.96419,                0.77878,                0.73794,                 64.068,                0.72393,              0.0071576,              0.0071576,              0.0071576
                     39,                0.60974,                0.31776,                0.80501,                0.88121,                0.98837,                0.95699,                0.77146,                   0.74,                 64.258,                0.72428,              0.0070159,              0.0070159,              0.0070159
                     40,                0.60876,                0.31572,                 0.8058,                0.88195,                0.98767,                0.95175,                 0.7701,                0.73979,                 65.711,                0.72436,              0.0068722,              0.0068722,              0.0068722
                     41,                 0.6074,                0.31595,                0.80525,                0.88338,                0.98613,                0.94898,                0.76514,                0.74202,                 63.549,                 0.7245,              0.0067268,              0.0067268,              0.0067268
                     42,                0.60204,                0.31276,                0.80416,                0.88304,                  0.986,                0.95257,                0.76631,                0.74915,                 64.131,                0.72497,              0.0065796,              0.0065796,              0.0065796
                     43,                0.59652,                0.31015,                0.80411,                0.88226,                0.98715,                0.95752,                0.76862,                0.75267,                 64.306,                0.72541,               0.006431,               0.006431,               0.006431
                     44,                0.59534,                0.30746,                0.80337,                0.88225,                0.98649,                0.95216,                0.76472,                 0.7501,                 64.337,                0.72485,               0.006281,               0.006281,               0.006281
                     45,                0.59271,                0.30667,                0.80373,                0.88107,                0.98771,                0.93026,                0.74749,                0.74392,                 66.435,                0.72462,              0.0061298,              0.0061298,              0.0061298
                     46,                0.59003,                0.30416,                0.80338,                0.88066,                 0.9881,                 0.9391,                0.75327,                0.74725,                 66.627,                0.72462,              0.0059775,              0.0059775,              0.0059775
                     47,                 0.5865,                0.30257,                0.80289,                 0.8828,                0.98523,                0.93085,                0.74854,                 0.7452,                 67.333,                0.72482,              0.0058244,              0.0058244,              0.0058244
                     48,                 0.5848,                0.30094,                0.80297,                0.88241,                0.98603,                0.93543,                0.75141,                 0.7512,                 67.935,                0.72513,              0.0056704,              0.0056704,              0.0056704
                     49,                0.58099,                0.29856,                0.80229,                0.88288,                0.98678,                0.93649,                0.75247,                0.75317,                 68.001,                0.72527,              0.0055158,              0.0055158,              0.0055158
                     50,                0.57573,                0.29576,                0.80113,                0.88343,                0.98616,                0.93401,                0.74678,                0.75963,                 68.082,                0.72578,              0.0053608,              0.0053608,              0.0053608
                     51,                0.57394,                0.29456,                0.80071,                 0.8821,                0.98728,                0.93097,                0.74777,                0.74972,                 69.151,                0.72524,              0.0052055,              0.0052055,              0.0052055
                     52,                0.57076,                0.29296,                0.80101,                0.88116,                0.98851,                0.92727,                0.74453,                0.74606,                 69.305,                  0.725,                0.00505,                0.00505,                0.00505
                     53,                0.56915,                0.29168,                0.79982,                0.88153,                0.98802,                 0.9307,                0.74714,                0.74575,                 69.841,                0.72499,              0.0048945,              0.0048945,              0.0048945
                     54,                0.56557,                 0.2894,                0.80039,                 0.8827,                0.98684,                0.93034,                0.74817,                 0.7437,                 70.829,                 0.7246,              0.0047392,              0.0047392,              0.0047392
                     55,                0.56285,                0.28743,                0.79911,                0.88273,                0.98682,                0.93219,                0.75001,                 0.7442,                  70.58,                0.72474,              0.0045842,              0.0045842,              0.0045842
                     56,                0.56126,                0.28644,                0.79946,                0.88237,                0.98703,                0.93426,                0.75195,                0.74188,                 69.915,                0.72469,              0.0044296,              0.0044296,              0.0044296
                     57,                0.55985,                0.28578,                0.79865,                0.88204,                 0.9869,                0.93128,                0.74947,                 0.7445,                 70.017,                0.72503,              0.0042756,              0.0042756,              0.0042756
                     58,                0.55685,                0.28312,                  0.799,                0.88229,                0.98667,                0.93247,                0.75115,                0.74496,                 70.046,                0.72525,              0.0041225,              0.0041225,              0.0041225
                     59,                0.55571,                 0.2823,                0.79863,                0.88198,                0.98704,                0.93249,                0.75231,                0.74403,                 70.551,                0.72521,              0.0039702,              0.0039702,              0.0039702
                     60,                0.55052,                0.28014,                0.79816,                0.88176,                0.98742,                0.93305,                0.75357,                0.74361,                 70.505,                0.72512,               0.003819,               0.003819,               0.003819
