                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                0.78095,                0.40061,                0.80948,                0.88017,                 0.9864,                0.94491,                0.76795,                0.71572,                 59.146,                0.72283,              0.0074347,              0.0074347,              0.0074347
                     37,                0.77886,                0.39862,                0.80776,                0.88087,                0.98554,                0.96497,                0.78095,                0.72048,                  58.07,                0.72295,              0.0072973,              0.0072973,              0.0072973
                     38,                0.77543,                0.39676,                0.80786,                0.88211,                0.98536,                0.95073,                 0.7733,                0.71492,                 58.783,                0.72192,              0.0071576,              0.0071576,              0.0071576
                     39,                0.77323,                0.39551,                 0.8075,                0.88154,                0.98436,                0.95259,                0.77537,                  0.715,                 59.441,                0.72236,              0.0070159,              0.0070159,              0.0070159
                     40,                0.77345,                0.39454,                0.80812,                0.88184,                  0.985,                0.94462,                0.76798,                0.71375,                 60.244,                0.72224,              0.0068722,              0.0068722,              0.0068722
                     41,                 0.7715,                 0.3921,                0.80681,                0.88111,                0.98541,                0.94951,                0.77374,                0.71062,                 59.621,                0.72229,              0.0067268,              0.0067268,              0.0067268
                     42,                0.76397,                0.38926,                0.80534,                0.88099,                0.98712,                0.96195,                0.78248,                0.71784,                 60.446,                 0.7226,              0.0065796,              0.0065796,              0.0065796
                     43,                0.76433,                0.38851,                0.80701,                0.88081,                 0.9875,                 0.9509,                0.77454,                0.71171,                 60.127,                0.72238,               0.006431,               0.006431,               0.006431
                     44,                0.75997,                0.38461,                0.80548,                 0.8811,                0.98596,                0.93048,                0.75725,                0.70874,                 60.605,                0.72176,               0.006281,               0.006281,               0.006281
                     45,                0.75175,                0.38113,                0.80522,                0.88002,                 0.9879,                0.93468,                0.75607,                0.72173,                 61.692,                0.72229,              0.0061298,              0.0061298,              0.0061298
                     46,                0.74811,                0.37968,                0.80462,                0.88084,                0.98695,                0.94014,                 0.7625,                0.71554,                 60.472,                0.72199,              0.0059775,              0.0059775,              0.0059775
                     47,                0.74676,                0.37839,                0.80439,                0.88184,                0.98635,                  0.944,                0.76469,                0.71505,                 60.448,                0.72219,              0.0058244,              0.0058244,              0.0058244
                     48,                0.74106,                0.37614,                0.80347,                0.88205,                 0.9859,                0.93847,                0.76076,                0.71538,                 60.237,                0.72221,              0.0056704,              0.0056704,              0.0056704
                     49,                0.73852,                0.37243,                0.80304,                0.88145,                0.98678,                 0.9478,                 0.7682,                0.71972,                  60.58,                0.72257,              0.0055158,              0.0055158,              0.0055158
                     50,                0.73216,                0.36946,                0.80294,                0.88203,                0.98612,                0.95191,                0.77188,                0.72356,                 60.847,                0.72285,              0.0053608,              0.0053608,              0.0053608
                     51,                0.72992,                0.36779,                0.80344,                0.88094,                0.98696,                0.94241,                0.76106,                0.72332,                 61.875,                0.72281,              0.0052055,              0.0052055,              0.0052055
                     52,                0.72913,                0.36799,                0.80233,                0.88145,                0.98716,                0.93705,                0.75753,                0.72386,                 61.921,                0.72293,                0.00505,                0.00505,                0.00505
                     53,                0.72599,                0.36543,                 0.8028,                0.88156,                0.98701,                0.93662,                0.75789,                 0.7199,                 62.093,                0.72246,              0.0048945,              0.0048945,              0.0048945
                     54,                 0.7215,                0.36268,                0.80093,                0.88193,                0.98723,                0.93746,                0.75959,                0.71685,                 62.115,                0.72225,              0.0047392,              0.0047392,              0.0047392
                     55,                0.71724,                0.36059,                0.80113,                0.88236,                0.98614,                0.93731,                 0.7592,                0.71768,                 62.837,                0.72228,              0.0045842,              0.0045842,              0.0045842
                     56,                0.71337,                0.35841,                 0.7996,                0.88177,                0.98712,                0.94073,                0.76087,                0.72046,                 63.504,                0.72253,              0.0044296,              0.0044296,              0.0044296
                     57,                 0.7152,                0.35928,                0.80179,                0.88188,                0.98684,                0.94154,                0.76207,                0.72044,                 63.556,                0.72254,              0.0042756,              0.0042756,              0.0042756
                     58,                0.71074,                0.35529,                0.80045,                0.88189,                0.98659,                0.94271,                0.76429,                0.71758,                 63.598,                0.72239,              0.0041225,              0.0041225,              0.0041225
                     59,                0.70616,                0.35233,                0.79975,                0.88188,                0.98656,                0.94376,                0.76633,                0.71849,                 63.203,                0.72243,              0.0039702,              0.0039702,              0.0039702
                     60,                0.70474,                0.35144,                0.79839,                0.88127,                0.98705,                0.94398,                0.76583,                0.72018,                 63.447,                0.72261,               0.003819,               0.003819,               0.003819
                     61,                0.70054,                0.34907,                0.79832,                 0.8813,                0.98661,                0.94367,                0.76592,                0.72148,                 63.679,                0.72264,               0.003669,               0.003669,               0.003669
                     62,                0.69724,                0.34904,                0.79919,                0.88064,                 0.9875,                0.94433,                0.76571,                0.72575,                 63.411,                  0.723,              0.0035204,              0.0035204,              0.0035204
                     63,                0.69073,                0.34468,                0.79817,                0.88147,                0.98695,                0.94391,                0.76488,                0.72834,                 63.821,                0.72319,              0.0033732,              0.0033732,              0.0033732
                     64,                0.69065,                0.34465,                0.79771,                0.88171,                0.98677,                0.94382,                0.76508,                0.72809,                 64.059,                0.72316,              0.0032278,              0.0032278,              0.0032278
                     65,                0.68512,                0.34214,                0.79732,                0.88206,                0.98665,                0.94484,                0.76505,                0.73051,                 64.359,                 0.7235,              0.0030841,              0.0030841,              0.0030841
