                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     37,                0.29166,                0.36445,                 0.9418,                0.99721,                0.95509,                  0.961,                0.94498,                 1.1739,                0.54464,                 2.5947,               0.006535,               0.006535,               0.006535
                     38,                0.28965,                0.36542,                0.94141,                0.99609,                0.95495,                0.96075,                0.94378,                 1.1802,                0.53923,                 2.5507,               0.006436,               0.006436,               0.006436
                     39,                0.29015,                0.36589,                0.94235,                0.99741,                0.95417,                 0.9595,                0.94439,                 1.1724,                0.54481,                 2.5505,               0.006337,               0.006337,               0.006337
                     40,                0.28577,                  0.361,                0.93929,                0.99805,                0.95406,                0.96022,                0.94351,                 1.1699,                 0.5325,                 2.5824,               0.006238,               0.006238,               0.006238
                     41,                0.28402,                0.36057,                0.93908,                0.99574,                0.95721,                 0.9611,                 0.9452,                 1.1624,                0.53034,                 2.6032,               0.006139,               0.006139,               0.006139
                     42,                 0.2829,                0.35828,                0.93823,                0.99742,                0.95571,                0.96068,                0.94583,                 1.1592,                 0.5276,                 2.6083,                0.00604,                0.00604,                0.00604
                     43,                0.28232,                0.35934,                0.93742,                0.99683,                0.95635,                0.96098,                0.94693,                 1.1573,                0.54113,                 2.6024,               0.005941,               0.005941,               0.005941
                     44,                0.28227,                0.35949,                0.93741,                0.99578,                0.95664,                0.96095,                0.94662,                  1.159,                0.53734,                 2.5572,               0.005842,               0.005842,               0.005842
                     45,                0.27975,                0.35809,                0.93694,                0.99649,                0.95638,                0.96118,                0.94652,                 1.1618,                0.54488,                 2.6242,               0.005743,               0.005743,               0.005743
                     46,                0.27838,                0.35353,                0.93609,                0.99694,                0.95616,                0.96115,                0.94776,                 1.1561,                0.54122,                 2.6151,               0.005644,               0.005644,               0.005644
                     47,                0.27776,                0.35549,                0.93645,                0.99716,                0.95552,                0.96076,                0.94822,                 1.1634,                0.54128,                 2.5969,               0.005545,               0.005545,               0.005545
                     48,                0.27603,                 0.3552,                0.93603,                0.99761,                0.95604,                0.96092,                0.94617,                 1.1574,                0.52776,                 2.5602,               0.005446,               0.005446,               0.005446
                     49,                0.27759,                0.35895,                0.93739,                0.99727,                0.95592,                0.96113,                0.94678,                 1.1626,                0.53928,                 2.5558,               0.005347,               0.005347,               0.005347
                     50,                0.27457,                0.35217,                0.93542,                0.99818,                0.95581,                0.96113,                0.94702,                  1.151,                0.52738,                 2.5868,               0.005248,               0.005248,               0.005248
                     51,                0.27219,                0.35131,                0.93519,                0.99851,                0.95572,                0.96078,                0.94875,                 1.1521,                0.54033,                 2.6256,               0.005149,               0.005149,               0.005149
                     52,                 0.2711,                0.35197,                0.93472,                0.99847,                0.95616,                0.96102,                0.94839,                 1.1478,                0.53688,                 2.5643,                0.00505,                0.00505,                0.00505
